"matchKey","matchnumber","alliance","startTime","eventKey","reportedWinningAlliance","reportedRedScore","reportedBlueScore","scoutname","teamNumber","teamOccurrence","noshow","autonote1","autonote2","autonote3","autonote4","autonote5","autonote6","autonote7","autonote8","startingpos","autoamp","autospeaker","leave","teleopamp","teleopspeaker","shotfromsubwoofer","shotfrompodium","shotfromwing","shotfromoutside","teleoptrap","amplifications","passednotes","climbtime","onstageorder","harmonizeqty","buddy","spotlit","floorpickup","sourcepickup","understage","playeddefense","receiveddefense","died","tipped","broke","rating","comments"
"2024incol_qm1",1,"blue","9/0/56176 11:20:00","2024incol",,43,15,"Esteban (5010)",1555,1,0,0,1,0,0,0,0,0,0,"b",0,1,1,0,2,1,0,0,0,0,0,,0,"0","0",0,0,1,0,0,1,0,0,0,1,"1","damaged intake"
"2024incol_qm1",1,"red","9/0/56176 11:20:00","2024incol",,43,15,"Cody (4272)",3494,1,0,0,0,0,1,0,0,0,0,"a",1,0,1,5,0,0,0,0,0,0,0,,15,"0","0",0,0,1,0,1,0,1,0,0,0,"1",""
"2024incol_qm1",1,"red","9/0/56176 11:20:00","2024incol",,43,15,"Milla (7617)",6498,1,0,0,1,0,0,0,0,0,0,"b",0,2,1,0,1,0,1,0,0,0,2,,2,"2","2",0,0,1,0,0,1,0,0,0,0,"3","got a note stuck jn them in the beginning, played defense    e   "
"2024incol_qm1",1,"red","9/0/56176 11:20:00","2024incol",,43,15,"Ethan (5188)",7657,1,0,1,1,1,0,0,0,0,0,"c",0,3,0,0,0,0,0,0,0,0,0,,5,"0","0",0,0,1,0,0,0,0,0,0,0,"2","They drove pretty well"
"2024incol_qm1",1,"blue","9/0/56176 11:20:00","2024incol",,43,15,"Carter (7457)",8116,1,0,0,0,0,0,0,0,0,0,"d",0,0,0,0,0,0,0,0,0,0,2,,0,"0","0",0,1,0,0,0,0,0,1,0,0,"3","Moved a few feet and lost connection again"
"2024incol_qm1",1,"blue","9/0/56176 11:20:00","2024incol",,43,15,"Allen (3494)",8430,1,0,0,0,0,0,0,0,0,0,"a",0,0,0,2,0,0,0,0,0,0,0,,0,"0","0",0,0,0,1,0,0,1,0,0,0,"2","minimal defense "
"2024incol_qm2",2,"blue","9/6/56176 00:40:00","2024incol",,38,20,"Allen (3494)",2171,1,0,0,0,0,0,0,0,0,0,"d",0,0,1,2,0,0,0,0,0,0,0,,0,"0","0",0,0,0,0,1,0,0,0,0,0,"1","miss scored human "
"2024incol_qm2",2,"red","9/6/56176 00:40:00","2024incol",,38,20,"Ethan (5188)",4580,1,0,1,0,0,0,0,0,0,0,"c",1,0,0,2,1,0,0,1,0,0,0,,0,"4","2",0,0,0,0,0,0,0,0,0,0,"3","Didn't really pick up notes"
"2024incol_qm2",2,"blue","9/6/56176 00:40:00","2024incol",,38,20,"Carter (7457)",7198,1,0,0,0,0,0,0,0,0,0,"b",0,1,1,0,2,1,0,0,0,0,0,,18,"1","0",0,0,0,1,1,0,0,0,0,0,"2",""
"2024incol_qm2",2,"red","9/6/56176 00:40:00","2024incol",,38,20,"Cody (4272)",7454,1,0,0,0,0,0,0,0,0,0,"a",0,0,1,2,1,1,0,0,0,0,0,,0,"4","0",0,0,0,1,0,0,1,0,0,0,"1","Shut down by defense"
