matchKey,startTime,red1,red2,red3,blue1,blue2,blue3
2024incol_qm1,,3494,6498,7657,1555,8116,8430
2024incol_qm10,,3147,3487,3494,292,7657,8742
2024incol_qm11,,447,1741,2171,1024,1646,1720
2024incol_qm12,,5188,6498,7454,3559,7617,8103
2024incol_qm13,,1018,4926,8742,71,3487,8564
2024incol_qm14,,45,1024,7198,292,1555,2171
2024incol_qm15,,4580,7457,7617,1720,3147,4982
2024incol_qm16,,1646,1741,5188,7657,8430,9491
2024incol_qm17,,447,4272,8116,3494,5010,9453
2024incol_qm18,,1720,2171,4926,71,6498,7457
2024incol_qm19,,1555,3487,7454,1024,4580,9491
2024incol_qm2,,4580,7454,8742,2171,7198,7617
2024incol_qm20,,4982,7198,7657,4272,5010,8103
2024incol_qm21,,1018,3494,5188,292,1646,3147
2024incol_qm22,,7617,8430,8742,45,1741,8116
2024incol_qm23,,1720,3559,9453,447,7657,8564
2024incol_qm24,,3494,4580,7198,1018,3487,4982
2024incol_qm25,,3147,5010,8430,4926,7454,7617
2024incol_qm26,,7457,8103,9491,45,447,9453
2024incol_qm27,,1741,3559,8564,2171,4272,5188
2024incol_qm28,,292,1024,6498,71,1646,8742
2024incol_qm29,,7454,8116,9491,1018,1555,7457
2024incol_qm3,,71,292,1018,3559,4982,9491
2024incol_qm30,,5188,7617,8564,1720,8103,8430
2024incol_qm31,,447,3487,8742,1741,4272,7657
2024incol_qm32,,292,3494,4982,45,3559,6498
2024incol_qm33,,1646,4926,9453,1555,3147,7198
2024incol_qm34,,71,1024,8116,2171,4580,5010
2024incol_qm35,,45,3487,7457,3559,5188,7657
2024incol_qm36,,1018,4272,9491,1741,4926,6498
2024incol_qm37,,292,1720,4580,2171,7454,8430
2024incol_qm38,,4982,8742,9453,1555,1646,5010
2024incol_qm39,,7198,8103,8116,1024,3147,8564
2024incol_qm4,,1720,4272,7457,1024,5188,9453
2024incol_qm40,,71,1741,7617,447,3494,7457
2024incol_qm41,,1018,4580,8430,292,4272,9453
2024incol_qm42,,45,1646,9491,3559,5010,7198
2024incol_qm43,,4982,6498,8564,1024,3487,7657
2024incol_qm44,,3147,4926,5188,2171,8116,8742
2024incol_qm45,,71,1555,8103,1720,3494,7617
2024incol_qm46,,7454,7457,7657,447,6498,7198
2024incol_qm47,,45,292,8430,5010,8564,9491
2024incol_qm48,,2171,3487,8103,1018,1646,7617
2024incol_qm49,,1720,5188,8742,1555,3494,4272
2024incol_qm5,,447,1646,5010,45,4926,8564
2024incol_qm50,,71,3147,9453,1024,1741,7454
2024incol_qm51,,447,3559,4926,4580,4982,8116
2024incol_qm52,,45,4272,7617,292,7457,8564
2024incol_qm53,,1720,5010,7657,7198,8742,9491
2024incol_qm54,,1646,4982,7454,1024,3494,4926
2024incol_qm55,,1555,4580,6498,447,1018,3147
2024incol_qm56,,71,5188,8430,3487,8116,9453
2024incol_qm57,,2171,3559,7457,1741,8103,8742
2024incol_qm58,,45,3147,7657,1018,1720,7454
2024incol_qm59,,1646,3494,8564,6498,7617,9491
2024incol_qm6,,3147,6498,8103,1741,3487,4580
2024incol_qm60,,1555,1741,4982,3487,5010,5188
2024incol_qm61,,292,3559,8116,71,4272,4580
2024incol_qm62,,447,1024,8103,4926,7198,8430
2024incol_qm63,,7617,7657,9453,45,2171,4982
2024incol_qm64,,71,3494,9491,3147,4272,8742
2024incol_qm65,,1024,3559,8430,4580,4926,8103
2024incol_qm66,,292,5010,7454,1741,7457,9453
2024incol_qm67,,1018,2171,8564,447,1555,5188
2024incol_qm68,,1646,3487,7198,1720,6498,8116
2024incol_qm7,,1555,9453,9491,4982,7457,8430
2024incol_qm8,,4272,7198,8564,71,3559,7454
2024incol_qm9,,4926,5010,8116,45,1018,8103
