matchKey,startTime,red1,red2,red3,blue1,blue2,blue3
2024inpla_qm1,,234,2867,7457,447,4008,9071
2024inpla_qm10,,234,461,4008,4580,5010,9431
2024inpla_qm11,,1018,3487,9071,829,1741,8742
2024inpla_qm12,,292,3936,4982,135,4485,7617
2024inpla_qm13,,3940,4580,6956,3494,4008,9530
2024inpla_qm14,,829,6721,9431,3487,7457,9119
2024inpla_qm15,,328,2867,7477,234,3947,9071
2024inpla_qm16,,1747,3865,8742,135,3890,5010
2024inpla_qm17,,292,868,1501,461,1741,4982
2024inpla_qm18,,447,2867,3494,1018,7617,9431
2024inpla_qm19,,3947,4008,4485,829,1747,3940
2024inpla_qm2,,868,1018,3940,1741,3947,6721
2024inpla_qm20,,1501,6721,9071,292,3487,6956
2024inpla_qm21,,234,7477,8742,3936,7617,9530
2024inpla_qm22,,135,461,3865,1018,3890,4580
2024inpla_qm23,,868,4982,9119,447,5010,7457
2024inpla_qm24,,234,328,1501,1741,4008,6956
2024inpla_qm25,,292,2867,9431,3890,4485,9071
2024inpla_qm26,,3487,3947,5010,1018,3865,9530
2024inpla_qm27,,447,461,8742,328,3494,6721
2024inpla_qm28,,868,1747,7457,135,4982,7477
2024inpla_qm29,,829,3936,4580,1741,3940,9119
2024inpla_qm3,,4982,9431,9530,6956,7477,7617
2024inpla_qm30,,1501,4008,7617,3494,8742,9431
2024inpla_qm31,,461,3487,9530,2867,4982,6956
2024inpla_qm32,,1747,9071,9119,868,3865,6721
2024inpla_qm33,,292,1018,7477,234,3936,3940
2024inpla_qm34,,829,7457,7617,135,328,4580
2024inpla_qm35,,1741,4485,5010,447,3890,3947
2024inpla_qm36,,4982,8742,9071,461,3494,3940
2024inpla_qm37,,3936,6721,6956,829,2867,3865
2024inpla_qm38,,1741,3890,7457,868,7477,9530
2024inpla_qm39,,292,5010,7617,1747,3947,4580
2024inpla_qm4,,328,3865,3936,461,4485,4580
2024inpla_qm40,,328,4008,9431,447,1018,1501
2024inpla_qm41,,135,234,9119,868,3487,4485
2024inpla_qm42,,1741,3494,7617,3865,5010,9071
2024inpla_qm43,,461,829,3890,3936,4008,7457
2024inpla_qm44,,328,4485,4982,135,6721,9530
2024inpla_qm45,,234,1018,6956,3947,9119,9431
2024inpla_qm46,,1501,2867,4580,3487,3940,8742
2024inpla_qm47,,461,1747,7477,292,447,829
2024inpla_qm48,,3494,3936,9119,1018,4982,7457
2024inpla_qm49,,3487,3865,7617,234,868,9431
2024inpla_qm5,,292,1747,3890,1501,8742,9119
2024inpla_qm50,,1747,5010,9530,328,3940,9071
2024inpla_qm51,,447,4485,6956,4580,6721,8742
2024inpla_qm52,,135,2867,4008,1501,1741,7477
2024inpla_qm53,,3487,3494,3890,292,328,3947
2024inpla_qm54,,461,6721,7457,234,447,7617
2024inpla_qm55,,868,1741,4580,2867,4485,8742
2024inpla_qm56,,3890,3940,9431,829,1501,4982
2024inpla_qm57,,3865,3947,7477,292,4008,9119
2024inpla_qm58,,6956,9071,9530,135,1018,1747
2024inpla_qm59,,3940,5010,6721,1741,3936,9431
2024inpla_qm6,,135,829,3487,3494,5010,7477
2024inpla_qm60,,1501,3494,3865,829,4485,7477
2024inpla_qm61,,3947,6956,8742,135,292,7457
2024inpla_qm62,,3890,4008,4982,234,1747,3487
2024inpla_qm63,,328,447,9530,868,3936,9071
2024inpla_qm64,,1018,5010,9119,461,2867,7617
2024inpla_qm65,,4580,7457,7477,1747,4008,6721
2024inpla_qm66,,292,8742,9530,234,829,3494
2024inpla_qm67,,1018,3936,4485,461,1501,5010
2024inpla_qm68,,1741,2867,9071,3865,4580,4982
2024inpla_qm69,,135,3940,3947,447,3487,9431
2024inpla_qm7,,3865,3940,4485,328,6956,7457
2024inpla_qm70,,328,868,7617,3890,6956,9119
2024inpla_qm8,,447,6721,9119,1501,3890,9530
2024inpla_qm9,,868,3494,3947,1747,2867,3936
