Team Number,Matches Played,No-Show,Auto-Amp,Auto-Speaker,Auto-Leave,Auto-Score,Teleop-Amp,Teleop-Speaker,Amplification,TeleopScore-Unamplified,TeleopScore-Amplified,TeleopScore-Averaged,Teleop-Trap,Endgame-Park,Endgame-Climbed,Endgame-Spotlit,Unamplified-Score,Amplified-Score,Average-Score,Sum of OnstageFirst,Sum of OnstageSecond,Sum of OnstageThird,Sum of harmonizeqty,Sum of HarmonizeWith1,Sum of HarmonizeWith2,Sum of buddy,Sum of Spotlit1,Sum of Spotlit2,Sum of Spotlit3,Sum of floorpickup,Sum of sourcepickup,Sum of understage,Sum of playeddefense,Sum of receiveddefense,Sum of died,Sum of tipped,Sum of broke,Count of passednotes,Sum of shotfromsubwoofer,Sum of shotfrompodium,Sum of shotfromwing,Sum of shotfromoutside,Sum of StartA,Sum of StartB,Sum of StartC,Sum of StartD,Sum of autonote1,Sum of autonote2,Sum of autonote3,Sum of autonote4,Sum of autonote5,Sum of autonote6,Sum of autonote7,Sum of autonote8,Count of startingpos
45,12,0,0,15,10,95,22,54,19,178,406,292,0,2,8,5,273,501,387,7,1,0,11,5,3,0,3,1,0,12,4,11,1,3,0,0,0,12,9,4,3,0,0,3,9,0,1,3,1,0,0,1,5,3,12
135,12,0,0,13,7,79,0,83,5,204,453,328.5,0,4,6,1,283,532,407.5,5,1,0,8,2,3,1,1,0,0,12,3,11,1,4,0,0,0,12,11,1,2,0,2,3,5,0,4,2,1,0,0,0,0,1,12
234,12,0,0,10,10,70,29,51,15,172,412,292,0,4,7,1,242,482,362,4,2,1,8,2,3,0,1,0,0,11,2,2,2,4,0,0,0,12,5,4,10,0,3,1,8,0,2,1,0,0,0,0,0,3,12
292,12,0,0,27,8,151,14,65,4,179,416,297.5,0,5,6,0,330,567,448.5,4,2,0,6,4,1,1,0,0,0,12,0,10,2,4,0,0,0,12,12,1,4,0,1,5,6,0,6,6,4,1,0,0,1,5,12
461,12,0,0,26,4,138,46,47,22,186,465,325.5,0,0,10,2,324,603,463.5,7,3,0,8,4,2,0,2,0,0,12,4,8,0,1,0,0,0,12,9,4,3,0,0,4,6,1,4,5,3,2,2,1,2,3,12
829,12,0,0,26,10,150,19,54,16,163,382,272.5,0,5,3,2,313,532,422.5,1,1,1,11,3,4,0,2,0,0,11,4,7,0,5,0,0,0,12,9,3,3,0,5,5,2,0,7,6,6,4,1,0,0,0,12
868,12,0,0,53,5,275,41,51,3,190,466,328,2,3,6,1,465,741,603,2,2,2,8,2,3,0,1,0,0,12,5,0,2,3,0,0,1,12,6,5,4,0,0,12,0,0,6,9,7,9,7,1,0,0,12
1018,12,0,0,12,5,70,37,24,19,112,295,203.5,0,2,5,3,182,365,273.5,1,4,0,5,1,2,0,1,1,0,11,3,10,4,6,0,0,0,12,9,0,0,0,6,2,4,0,0,2,0,0,0,0,0,0,12
1024,12,0,0,21,6,117,17,59,11,175,403,289,0,2,8,2,292,520,406,5,3,0,7,1,3,0,2,0,0,12,3,10,0,2,0,0,0,12,9,1,0,0,0,6,4,0,6,5,7,0,0,0,0,2,12
1501,12,0,0,34,6,182,34,23,14,152,323,237.5,7,1,8,3,334,505,419.5,8,0,0,6,0,3,0,3,0,0,12,5,1,0,4,0,0,1,12,6,1,5,0,0,9,3,0,3,7,7,2,2,1,0,1,12
1646,11,0,0,7,7,49,17,22,4,78,195,136.5,0,1,2,0,127,244,185.5,0,1,1,5,1,2,0,0,0,0,7,1,6,2,4,3,0,0,11,3,1,3,0,5,0,6,0,1,0,0,0,0,0,1,1,11
1720,12,0,0,12,2,64,8,26,11,83,185,134,0,4,3,1,147,249,198,3,0,0,5,1,2,0,1,0,0,7,2,7,8,2,2,0,0,12,8,0,1,0,8,1,3,0,1,1,0,1,0,0,0,0,12
1741,12,0,0,27,6,147,25,48,10,168,387,277.5,0,2,9,1,315,534,424.5,4,2,3,9,1,4,0,1,0,0,12,3,9,1,2,0,0,0,12,9,2,3,1,0,5,5,1,4,7,4,3,1,0,5,4,12
1747,12,0,0,9,2,49,1,70,3,179,392,285.5,0,2,6,0,228,441,334.5,1,3,2,9,3,3,0,0,0,0,9,5,5,2,4,1,0,0,12,10,0,2,0,6,3,2,0,1,2,0,0,0,0,0,0,12
2197,12,0,1,16,2,86,0,67,0,179,380,279.5,0,1,8,0,265,466,365.5,3,5,0,10,2,4,0,0,0,0,12,1,9,1,3,1,0,0,12,11,0,0,0,6,4,1,0,1,3,2,0,0,0,0,0,12
3147,12,0,0,17,7,99,17,19,10,102,210,156,1,0,10,0,201,309,255,8,1,1,6,4,1,0,0,0,0,10,2,9,2,5,1,0,0,12,7,0,1,0,4,0,8,0,3,3,0,1,2,0,3,5,12
3176,12,0,0,20,7,114,17,19,11,92,200,146,0,2,9,3,206,314,260,5,4,0,4,2,1,0,1,1,0,9,2,4,3,3,1,0,1,12,5,0,2,0,1,7,4,0,0,7,2,0,0,4,1,3,12
3487,12,0,7,1,4,27,23,29,17,92,248,170,0,7,0,2,119,275,197,0,0,0,2,0,1,0,2,0,0,12,2,10,1,3,2,0,0,12,10,0,0,0,10,0,0,1,5,0,0,0,0,0,0,0,12
3494,12,0,9,4,7,52,63,0,24,158,347,252.5,10,0,11,5,210,399,304.5,10,1,0,6,0,3,1,3,1,0,12,0,7,2,1,0,0,0,12,0,1,1,0,11,1,0,0,2,0,0,9,9,5,0,0,12
3865,12,0,0,0,3,6,0,0,2,19,19,19,0,2,3,0,25,25,25,1,1,1,4,0,2,0,0,0,0,0,0,3,12,0,3,0,0,12,0,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,12
3940,12,0,0,20,7,114,47,27,17,147,369,258,4,1,7,0,261,483,372,6,1,0,2,2,0,0,0,0,0,12,2,9,1,3,0,0,0,12,10,1,0,0,4,4,4,0,5,5,5,2,1,0,0,3,12
4272,12,0,0,25,4,133,36,29,14,131,326,228.5,0,2,7,0,264,459,361.5,3,3,1,7,3,2,0,0,0,0,11,1,8,3,4,1,0,0,12,2,4,7,0,2,9,1,0,5,8,8,4,0,0,0,1,12
4926,12,0,0,19,6,107,24,24,10,105,249,177,0,1,8,2,212,356,284,4,1,3,4,2,1,0,2,0,0,11,0,6,2,3,4,0,0,12,8,1,0,0,8,1,0,3,5,1,0,3,0,0,1,3,12
4982,12,0,0,21,8,121,17,40,4,147,318,232.5,0,0,10,0,268,439,353.5,6,2,2,10,0,5,0,0,0,0,12,2,6,5,2,0,0,1,12,8,0,2,0,1,6,4,0,5,6,4,1,1,3,1,3,12
5010,12,0,0,20,6,112,38,32,13,114,324,219,0,3,3,1,226,436,331,3,0,0,0,0,0,0,1,0,0,9,3,8,4,6,0,0,0,12,8,0,1,0,1,6,4,0,2,5,2,0,0,0,1,2,12
5188,12,0,0,25,10,145,0,38,1,87,201,144,0,7,0,0,232,346,289,0,0,0,2,0,1,0,0,0,0,11,3,4,3,6,0,0,0,12,11,1,3,0,6,5,1,0,6,5,4,5,2,2,0,1,12
5402,12,0,0,15,5,85,14,55,3,156,363,259.5,0,0,8,2,241,448,344.5,4,3,1,4,4,0,0,2,0,0,8,3,6,2,4,2,0,2,12,6,0,4,0,2,7,3,0,5,2,1,0,0,0,0,0,12
5484,12,0,0,30,4,158,0,52,24,112,268,190,0,8,0,4,270,426,348,0,0,0,0,0,0,0,2,1,0,10,5,9,2,4,1,0,0,12,11,0,0,0,2,10,0,0,7,9,6,0,0,0,0,0,12
6498,12,0,0,17,10,105,39,49,14,174,438,306,0,1,6,3,279,543,411,3,2,1,9,3,3,0,1,1,0,11,5,8,3,5,0,0,0,12,10,0,3,0,0,4,8,0,2,4,0,0,0,3,0,3,12
6721,12,0,0,18,6,102,3,38,2,120,243,181.5,0,1,10,0,222,345,283.5,7,3,0,5,3,1,0,0,0,0,10,2,6,1,6,1,0,0,12,10,0,0,0,4,7,1,0,1,6,1,0,0,0,0,0,12
7454,12,0,0,12,7,74,26,26,4,126,282,204,0,0,10,1,200,356,278,5,4,1,9,1,4,0,1,0,0,4,10,5,3,5,0,0,0,12,9,0,0,0,5,2,5,0,0,1,1,0,0,0,0,0,12
7457,12,0,0,24,11,142,24,50,14,176,398,287,6,2,4,0,318,540,429,3,0,1,4,0,2,0,0,0,0,11,2,10,2,3,2,0,1,12,3,3,7,0,8,0,0,4,6,1,1,7,8,5,0,3,12
