matchKey,startTime,red1,red2,red3,blue1,blue2,blue3
2024incmp_qm1,,1501,2197,6498,3176,3865,5010
2024incmp_qm10,,135,1024,1720,868,3147,4272
2024incmp_qm11,,461,3865,4982,3494,4926,7457
2024incmp_qm12,,45,5188,8103,1646,6721,8430
2024incmp_qm13,,5484,7454,7617,1747,3176,7657
2024incmp_qm14,,234,4272,5402,868,1741,3940
2024incmp_qm15,,1720,3147,5010,135,3865,9491
2024incmp_qm16,,45,1018,1646,4982,6498,7457
2024incmp_qm17,,4926,7657,8430,1024,1501,6721
2024incmp_qm18,,292,7617,8103,2197,3487,5188
2024incmp_qm19,,461,3176,3494,829,7454,9431
2024incmp_qm2,,1747,4926,7617,829,1741,8103
2024incmp_qm20,,45,868,1747,135,1018,5010
2024incmp_qm21,,1646,3147,4982,1501,1720,7457
2024incmp_qm22,,234,292,3865,5484,7657,8103
2024incmp_qm23,,1741,3176,5188,1024,3494,9491
2024incmp_qm24,,2197,5402,7617,4926,6721,7454
2024incmp_qm25,,829,3487,6498,461,4272,8430
2024incmp_qm26,,1501,1646,9431,135,1747,3940
2024incmp_qm27,,234,3147,8103,45,3176,5484
2024incmp_qm28,,1741,4926,9491,1720,2197,7454
2024incmp_qm29,,3494,4982,8430,4272,6498,7617
2024incmp_qm3,,135,292,5484,1024,3940,9431
2024incmp_qm30,,3487,7457,7657,829,868,3865
2024incmp_qm31,,1018,1024,5188,5010,5402,9431
2024incmp_qm32,,292,1747,6721,461,3147,3940
2024incmp_qm33,,3494,4272,8103,45,1501,9491
2024incmp_qm34,,3865,6498,7454,135,7617,8430
2024incmp_qm35,,234,1741,2197,1646,5188,7657
2024incmp_qm36,,3487,3940,5010,829,1024,4982
2024incmp_qm37,,868,7457,9431,3176,4926,5402
2024incmp_qm38,,461,5484,6721,292,1018,1720
2024incmp_qm39,,2197,3494,3865,45,3147,8430
2024incmp_qm4,,4982,7454,9491,3147,5188,5402
2024incmp_qm40,,1741,1747,7454,3940,4272,4982
2024incmp_qm41,,135,1646,5402,3176,3487,8103
2024incmp_qm42,,1720,6721,9431,829,7617,9491
2024incmp_qm43,,461,1024,7457,292,1501,7657
2024incmp_qm44,,5010,5188,6498,234,4926,5484
2024incmp_qm45,,135,868,8103,1018,1741,4982
2024incmp_qm46,,45,5402,7454,829,1747,3494
2024incmp_qm47,,2197,3940,6721,1720,3487,3865
2024incmp_qm48,,234,1646,9491,292,1024,8430
2024incmp_qm49,,3147,5484,7457,461,4926,6498
2024incmp_qm5,,1018,3487,8430,234,461,868
2024incmp_qm50,,5188,7617,9431,4272,5010,7657
2024incmp_qm51,,1501,3176,3940,868,1018,3494
2024incmp_qm52,,1024,1741,3487,45,4982,6721
2024incmp_qm53,,5484,6498,9491,1646,1747,8103
2024incmp_qm54,,234,7617,7657,292,2197,3147
2024incmp_qm55,,829,4272,4926,1018,3865,9431
2024incmp_qm56,,5010,7457,8430,135,3176,7454
2024incmp_qm57,,868,1720,5402,461,1501,5188
2024incmp_qm58,,3147,6498,7657,3940,8103,9491
2024incmp_qm59,,1018,2197,4272,1024,1646,4926
2024incmp_qm6,,1720,3494,7657,4272,6721,7457
2024incmp_qm60,,1747,8430,9431,1741,3865,7457
2024incmp_qm61,,45,135,461,234,1720,5188
2024incmp_qm62,,868,1501,5010,3494,6721,7617
2024incmp_qm63,,292,829,3176,3487,4982,5402
2024incmp_qm64,,1018,7454,7657,1741,5484,8430
2024incmp_qm65,,1024,3865,4272,1747,5188,7457
2024incmp_qm66,,461,5010,9491,1646,3940,7617
2024incmp_qm67,,868,2197,3176,45,829,1720
2024incmp_qm68,,3147,3487,6721,234,6498,9431
2024incmp_qm69,,135,4926,4982,3494,5402,5484
2024incmp_qm7,,45,1741,9431,292,1646,6498
2024incmp_qm70,,1501,3865,8103,292,461,7454
2024incmp_qm71,,3940,5188,8430,45,7457,7617
2024incmp_qm72,,1720,3176,4272,234,1747,5010
2024incmp_qm73,,829,1018,6721,135,1741,3147
2024incmp_qm74,,868,1024,7657,5402,6498,8103
2024incmp_qm75,,1646,3494,7454,292,3487,4926
2024incmp_qm76,,1501,4982,5484,2197,9431,9491
2024incmp_qm8,,829,3940,5402,2197,5010,5484
2024incmp_qm9,,1018,1747,9491,234,1501,3487
