"matchKey","matchnumber","alliance","startTime","eventKey","reportedWinningAlliance","reportedRedScore","reportedBlueScore","scoutname","teamNumber","teamOccurrence","noshow","autonote1","autonote2","autonote3","autonote4","autonote5","autonote6","autonote7","autonote8","startingpos","autoamp","autospeaker","leave","teleopamp","teleopspeaker","shotfromsubwoofer","shotfrompodium","shotfromwing","shotfromoutside","teleoptrap","amplifications","passednotes","climbtime","onstageorder","harmonizeqty","buddy","spotlit","floorpickup","sourcepickup","understage","playeddefense","receiveddefense","died","tipped","broke","rating","comments"
"2024ineva_qm1",1,"red","4/5/56212 00:00:00","2024ineva",,-1,-1,"Ethan (7657)",3559,1,0,0,0,0,0,0,0,0,0,"d",0,0,1,2,0,0,0,0,0,0,0,0,15,"4","2",0,0,0,1,0,0,0,0,0,0,"3",""
"2024ineva_qm1",1,"blue","4/5/56212 00:00:00","2024ineva",,-1,-1,"Jennie (1501)",5484,1,0,1,1,0,0,0,0,0,0,"b",0,2,1,0,6,0,1,1,0,0,0,0,1,"4","0",0,0,1,1,1,1,1,0,0,0,"1","fast quick w getting notes on flooor floor"
"2024ineva_qm1",1,"red","4/5/56212 00:00:00","2024ineva",,-1,-1,"Emma (868)",8116,1,0,0,0,0,0,0,0,0,0,"c",0,0,1,0,3,0,1,0,0,0,0,0,7,"4","1",0,0,1,0,0,0,1,0,0,0,"1","bad deadzone in the shooter "
"2024ineva_qm1",1,"red","4/5/56212 00:00:00","2024ineva",,-1,-1,"Zach (5188)",8564,1,0,1,0,0,0,0,0,0,0,"b",0,2,0,0,1,1,0,0,0,0,0,0,0,"0","0",0,0,1,0,0,0,1,0,0,0,"3","moved slow"
"2024ineva_qm1",1,"blue","4/5/56212 00:00:00","2024ineva",,-1,-1,"Ethan (5484)",9453,1,0,0,0,0,0,0,0,0,0,"d",0,0,1,0,0,0,0,0,0,0,0,0,0,"0","0",0,0,0,1,0,0,0,0,0,0,"3","has trouble intaking notes into their shooter and only has a source pickup, had issues moving at the start but then the rest of the match was then unable to intake a note"
"2024ineva_qm1",1,"blue","4/5/56212 00:00:00","2024ineva",,-1,-1,"Crystal (5188)",9491,1,0,0,0,0,0,0,0,0,0,"c",0,0,0,2,1,1,0,0,0,0,0,0,4,"0","0",0,0,0,1,0,0,0,0,0,0,"2","the robot isn't very fast; also took a while to line up to shoot in the speaker"
"2024ineva_qm2",2,"blue","4/4/56212 06:00:00","2024ineva",,-1,-1,"Jennie (1501)",868,1,0,0,1,0,0,0,0,0,0,"b",0,2,1,3,7,0,0,1,0,0,0,0,10,"3","1",0,0,1,1,1,1,0,0,0,0,"1",""
"2024ineva_qm2",2,"red","4/4/56212 06:00:00","2024ineva",,-1,-1,"Ethan (7657)",1501,1,0,0,1,1,0,0,0,0,0,"b",0,2,1,4,2,1,0,1,0,1,2,1,12,"4","2",0,0,1,1,0,0,1,0,0,0,"3",""
"2024ineva_qm2",2,"blue","4/4/56212 06:00:00","2024ineva",,-1,-1,"Ethan (5484)",2197,1,0,0,0,0,0,0,0,0,0,"c",0,1,0,0,4,1,0,0,0,0,0,0,10,"0","0",0,0,1,0,1,1,1,0,0,0,"2","did well but has a low mobility because of a mech drive base"
"2024ineva_qm2",2,"blue","4/4/56212 06:00:00","2024ineva",,-1,-1,"Crystal (5188)",3890,1,0,0,0,0,0,0,0,0,0,"a",0,0,0,0,0,0,0,0,0,0,0,0,0,"4","0",0,0,0,0,0,1,0,0,0,0,"3",""
"2024ineva_qm2",2,"red","4/4/56212 06:00:00","2024ineva",,-1,-1,"Emma (868)",3947,1,0,0,0,0,0,0,0,0,0,"a",0,0,0,0,3,1,0,0,0,0,2,3,11,"1","0",0,0,1,0,1,0,0,0,0,0,"1","auton was not functional"
"2024ineva_qm2",2,"red","4/4/56212 06:00:00","2024ineva",,-1,-1,"Zach (5188)",9554,1,0,0,0,0,0,0,0,0,0,"c",0,0,0,0,3,1,0,0,0,0,2,0,0,"4","0",0,0,1,0,0,0,1,0,0,0,"2",""
"2024ineva_qm3",3,"blue","5/3/56212 12:00:00","2024ineva",,-1,-1,"Jennie (1501)",1720,1,0,0,1,0,0,0,0,0,0,"b",0,1,0,0,1,0,1,0,0,0,0,0,5,"2","0",0,0,1,0,0,1,0,0,0,0,"3","intake under bot, got note stuck there the whole time in teleop"
"2024ineva_qm3",3,"blue","5/3/56212 12:00:00","2024ineva",,-1,-1,"Ethan (5484)",4485,1,0,0,0,0,0,0,0,0,0,"c",0,0,1,0,1,0,0,0,0,0,0,1,0,"0","0",0,0,1,1,1,1,0,0,0,0,"3","their floor intake seemed to be broken for the beginning of the match leaving them with only a source intake, the shooter in auto shot but it didn't make it"
"2024ineva_qm3",3,"blue","5/3/56212 12:00:00","2024ineva",,-1,-1,"Crystal (5188)",4926,1,0,1,0,0,1,0,0,0,0,"a",0,1,0,1,4,0,0,1,0,0,0,0,0,"0","0",0,0,1,1,1,0,1,0,0,0,"1","fast robot and good driving; also a wide range of shooting zones for speaker"
