matchKey,startTime,red1,red2,red3,blue1,blue2,blue3
2024ineva_qm1,,3559,8116,8564,5484,9453,9491
2024ineva_qm10,,3452,6498,8564,868,3947,9453
2024ineva_qm11,,4008,4926,5484,1747,3559,5188
2024ineva_qm12,,234,7454,9491,3890,5402,8116
2024ineva_qm13,,3176,4485,8430,1720,2197,9554
2024ineva_qm14,,868,5188,5484,1501,3452,6498
2024ineva_qm15,,4926,5402,7454,234,8116,8564
2024ineva_qm16,,4485,8430,9554,1747,4008,9491
2024ineva_qm17,,1720,7657,9453,3176,3890,3947
2024ineva_qm18,,868,3559,7454,2197,5402,8564
2024ineva_qm19,,1501,8116,9491,1747,3452,4485
2024ineva_qm2,,1501,3947,9554,868,2197,3890
2024ineva_qm20,,1720,3947,5484,234,3176,9554
2024ineva_qm21,,2197,5188,9453,3559,6498,7657
2024ineva_qm22,,3890,4926,8564,4008,8116,8430
2024ineva_qm23,,1501,4485,5484,868,1720,5402
2024ineva_qm24,,234,3947,6498,3176,5188,9491
2024ineva_qm25,,1747,2197,9453,4926,7657,8430
2024ineva_qm26,,3452,3559,9554,3890,4008,7454
2024ineva_qm27,,868,3176,6498,234,4485,8116
2024ineva_qm28,,1501,5188,8564,2197,3947,8430
2024ineva_qm29,,4008,5402,9554,3452,4926,9453
2024ineva_qm3,,5188,5402,7657,1720,4485,4926
2024ineva_qm30,,3559,3890,5484,1747,7454,7657
2024ineva_qm31,,868,8564,9491,1720,3947,5188
2024ineva_qm32,,234,2197,4008,8116,9453,9554
2024ineva_qm33,,3890,4485,8430,3452,5402,5484
2024ineva_qm34,,1501,6498,7454,1720,1747,4926
2024ineva_qm35,,868,3559,9491,3176,7657,8564
2024ineva_qm36,,5402,8430,9453,234,3890,5188
2024ineva_qm37,,1747,6498,9554,3947,4485,7454
2024ineva_qm38,,3452,7657,8116,1501,3559,4926
2024ineva_qm39,,1720,3176,4008,2197,5484,9491
2024ineva_qm4,,3176,3452,7454,4008,6498,8430
2024ineva_qm40,,4485,6498,9453,7454,8564,9554
2024ineva_qm41,,234,1747,5402,3452,5188,8430
2024ineva_qm42,,1720,3890,7657,868,1501,4008
2024ineva_qm43,,3947,4926,9491,2197,3176,3559
2024ineva_qm44,,5188,6498,8116,5484,8430,9554
2024ineva_qm45,,868,4485,7657,234,1720,3452
2024ineva_qm46,,3559,3947,5402,4008,8564,9453
2024ineva_qm47,,3176,4926,8116,1501,1747,3890
2024ineva_qm48,,2197,3452,9491,5188,5484,7454
2024ineva_qm49,,3947,4008,8564,4485,5402,7657
2024ineva_qm5,,868,1747,8116,234,1501,9453
2024ineva_qm50,,1501,1720,8430,3559,6498,9453
2024ineva_qm51,,1747,3176,5484,2197,7454,8116
2024ineva_qm52,,3890,9491,9554,234,868,4926
2024ineva_qm6,,2197,4926,5188,5484,7657,8564
2024ineva_qm7,,3452,3890,3947,1720,6498,9491
2024ineva_qm8,,234,1747,8430,3559,4008,4485
2024ineva_qm9,,7454,7657,9554,1501,3176,5402
